"id","status","species","common_name","scientific_name","year_nominated","circumference","height","spread","total_points","state","location"
"3848","Champion","WALNUT","Arizona","Juglans major","2007","215","81","88","318","AZ","Prescott NF"
"3454","Champion","WALNUT","Southern California","Juglans californica","1973","348","80","106","455","CA","Butte"
"4452","Champion","WATER-ELM","","Planera aquatica","2009","219","68","69.5","304","FL","Gilchrist"
"4450","Champion","WATERLOCUST","","Gleditsia aquatica","2009","97","82","48.5","191","FL","Gilchrist"
"4012","Champion","WHITE IRONWOOD","","Hypelate trifoliata","1999","56","37","26","100","FL","Monroe"
"4418","Champion","WHITE-CEDAR","Atlantic","Chamaecyparis thyoides","2009","194","57","26","258","OH","Muskingum"
"4883","Champion","WHITE-CEDAR","Northern","Thuja occidentalis","2011","216","113","42","340","MI","Leelanau"
"6081","Champion","WILD-DILLY","","Manilkara jaimiqui","2016","50","31","47.5","93","FL","Monroe"
"6167","Champion","WILLOW","Black","Salix nigra","2018","315","91","75","425","MN","Marine on St. Croix"
"5747","Champion","WILLOW","Coastal plains","Salix caroliniana","2016","116","36","52.5","165","FL","Alachua"
"5089","Champion","WILLOW","Crack","Salix fragilis","2012","388","55","72","461","MT","Stevensville"
"5789","Champion","WILLOW","Dusky","Salix melanopsis","2016","12","25","9.5","39","OR","Marion County"
"5462","Champion","WILLOW","Feltleaf","Salix alaxensis","2014","79","6.5","21.5","91","MI","Thompson Pass"
"5271","Champion","WILLOW","Florida","Salix floridana","2013","22","26","18","53","FL","Wakulla"
"3851","Champion","WILLOW","Geyer","Salix geyeriana","2007","10","13","14","27","AZ","Fort Apache Indian Reservation"
"5045","Champion","WILLOW","Goodding","Salix gooddingii","2010","351","110","94.75","485","NM","Taos"
"5740","Champion","WILLOW","Greenleaf","Salix lasiandra var. caudata","2016","69","45","39","124","MT","Sweetgrass"
"5643","Champion","WILLOW","Hooker","Salix hookeriana","2015","23","33","38","66","OR","Washington"
"5788","Champion","WILLOW","Mackenzie","Salix mackenzieana","2016","18","27","28","52","OR","Marion County"
"5739","Champion","WILLOW","Northwest","Salix sessilifolia","2016","29","42","21","76","OR","Marion County"
"5361","Champion","WILLOW","Pacific","Salix lucida ssp. lasiandra","2013","101","90","33.5","199","CA","Golden Gate National Recreation Area"
"5899","Co-Champion","WILLOW","Peachleaf","Salix amygdaloides","2017","114","49","34","172","MT","Yellowstone County"
"5534","Co-Champion","WILLOW","Peachleaf","Salix amygdaloides","2014","110","50","64","176","MT","Stillwater"
"5342","Champion","WILLOW","Purple-osier","Salix purpurea","2013","11","22","36","42","NY","Monroe County"
"5781","Champion","WILLOW","Pussy","Salix discolor","2016","120","30","45","161","VA","Page County"
"4878","Champion","WILLOW","Sandbar","Salix interior","2011","34","27","18","66","MI","Berrien"
"5547","Champion","WILLOW","Scouler","Salix scouleriana","2014","162","54","48","228","OR","Columbia"
"5341","Champion","WILLOW","Shining","Salix lucida ssp. lucida","2013","16","26","20","47","NY","Ontario County"
"4865","Champion","WILLOW","Silky","Salix sericea","2011","85","30","26","122","NJ","Morris"
"5556","Champion","WILLOW","Sitka","Salix sitchensis","2014","27","33","29","67","OR","Clackamas"
"4147","Champion","WILLOW","Weeping","Salix babylonica","2007","293","95","93","411","VA","Tazewell County"
"5827","Champion","WILLOW","White","Salix alba","2016","389","67.67","81","477","MI","Sycamore Creek Driving RAnge, Lansing"
"4603","Champion","WILLOW","Yewleaf","Salix taxifolia","2009","103","17","14","124","TX","Presidio County"
"4626","Champion","WINTERBERRY","Common","Ilex verticillata","2009","25","14","11","42","VA","Chesapeake City"
"4168","Champion","WINTERBERRY","Mountain","Ilex montana","2007","30","40","25","76","VA","Giles County"
"6046","Co-Champion","WITCH-HAZEL","","Hamamelis virginiana","2017","31","32","38","73","VA","Smyth County"
"6045","Co-Champion","WITCH-HAZEL","","Hamamelis virginiana","2017","34","34","29","75","VA","Russell County"
"4172","Champion","YELLOW-POPLAR","Tuliptree","Liriodendron tulipifera","2007","390","100","83","511","VA","Chesapeake City"
"4161","Champion","YELLOWWOOD","","Cladrastis kentukea","2008","227","74","78","321","NJ","Morristown"
"3503","Champion","YEW","Florida","Taxus floridana","1986","27","24","22","57","FL","Liberty"
"3505","Champion","YEW","Pacific","Taxus brevifolia","1959","182.5","60","30","250","WA","Gifford Pinchot National Forest"
"4404","Champion","YUCCA","Aloe","Yucca aloifolia","2001","19","14","4","34","GA","Brantley"
"6210","Champion","YUCCA","Beaked","Yucca thompsoniana","2018","50","14","6","66","TX","Brewster County"
"4098","Champion","YUCCA","Faxon","Yucca faxoniana","2007","75","25","12.5","103","TX","Alpine"
"3511","Champion","YUCCA","Moundlilly","Yucca gloriosa","1998","118","32","38","160","CA","Huntington Beach"
"5776","Champion","YUCCA","Soaptree","Yucca elata","2016","33","29","4","63","AZ","Oro Valley"
